Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
plane_vote.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/plane_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/plane_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/plane_vote.cu,0.0,2026-01-13 15:24:11,2026-01-13 15:24:11
voxel_kernels.cu,0.999,mess/zip/PluginAutoFit/legacy/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,4.2,2026-01-13 12:52:09,2026-01-13 17:04:44
voxel_kernels.cu,0.999,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,4.2,2026-01-13 17:04:44,2026-01-13 12:52:09
k_r1r2_filter.cu,0.9989,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,3.0,2026-01-13 17:04:44,2026-01-13 14:07:13
k_r1r2_filter.cu,0.9989,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,3.0,2026-01-13 17:04:44,2026-01-13 14:07:13
k_label_sort.cu,0.9984,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/bak/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_label_sort.cu,4.4,2026-01-13 17:04:44,2026-01-13 12:41:17
k_label_sort.cu,0.9984,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_label_sort.cu,4.4,2026-01-13 17:04:44,2026-01-13 12:41:17
k_direction_vote_bdrm.cu,0.9984,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/bak/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_direction_vote_bdrm.cu,2.9,2026-01-13 17:04:44,2026-01-13 14:08:42
k_direction_vote_bdrm.cu,0.9984,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_direction_vote_bdrm.cu,2.9,2026-01-13 17:04:44,2026-01-13 14:08:42
k_planair_regressie.cu,0.9979,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_planair_regressie.cu,mess/zip/PluginAutoFit/legacy/src/bak/k_planair_regressie.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_planair_regressie.cu,4.1,2026-01-13 17:04:44,2026-01-13 13:00:16
