Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
config.h,0.0741,mess/zip/PluginAutoFit/jules0/include/bak/config.h,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/config.h,mess/zip/PluginAutoFit/jules0/include/bak/config.h,1.7,2026-01-13 14:10:56,2026-01-13 12:30:14
config.h,0.0671,mess/zip/PluginAutoFit/include/config.h,mess/zip/PluginAutoFit/jules0/include/bak/config.h,mess/zip/PluginAutoFit/include/config.h,166.7,2026-01-20 12:52:01,2026-01-13 14:10:56
config.h,0.0652,mess/zip/PluginAutoFit/include/config.h,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/config.h,mess/zip/PluginAutoFit/include/config.h,168.4,2026-01-20 12:52:01,2026-01-13 12:30:14
config.h,0.0633,mess/zip/PluginAutoFit/jules0/include/bak/config.h,mess/zip/PluginAutoFit/include/bak/config.h,mess/zip/PluginAutoFit/jules0/include/bak/config.h,529.1,2026-01-13 14:10:56,2025-12-22 13:07:30
autofit_impl.cpp,0.0615,mess/zip/PluginAutoFit/bak2/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,0.0,2026-01-15 10:36:41,2026-01-15 10:36:41
k_adaptive_rdv_voter.cu,0.0611,mess/zip/PluginAutoFit/legacy/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/src/bak/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/legacy/src/k_adaptive_rdv_voter.cu,257.9,2026-01-16 13:35:24,2026-01-05 19:42:37
autofit_impl.cpp,0.0495,mess/zip/PluginAutoFit/bak2/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,27.0,2026-01-15 10:36:41,2026-01-16 13:35:48
k_adaptive_rdv_voter.cu,0.0477,mess/zip/PluginAutoFit/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/legacy/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/legacy/src/k_adaptive_rdv_voter.cu,68.4,2026-01-13 17:12:58,2026-01-16 13:35:24
autofit_impl.h,0.0474,mess/zip/PluginAutoFit/PluginAutoFit/include/autofit_impl.h,mess/zip/PluginAutoFit/jules0/include/autofit_impl.h,mess/zip/PluginAutoFit/jules0/include/autofit_impl.h,0.6,2026-01-13 11:51:58,2026-01-13 12:30:42
k_otndc.cu,0.044,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_otndc.cu,mess/zip/PluginAutoFit/legacy/src/ch1b/src/k_otndc.cu,mess/zip/PluginAutoFit/legacy/src/ch1b/src/k_otndc.cu,0.0,2026-01-16 13:35:25,2026-01-16 13:35:26
morton_utils.cuh,0.0334,mess/zip/PluginAutoFit/include/morton_utils.cuh,mess/zip/PluginAutoFit/legacy/src/include/morton_utils.cuh,mess/zip/PluginAutoFit/include/morton_utils.cuh,840.9,2026-01-16 13:35:48,2025-12-12 12:39:43
morton_utils.cuh,0.0334,mess/zip/PluginAutoFit/include/morton_utils.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/morton_utils.cuh,mess/zip/PluginAutoFit/include/morton_utils.cuh,840.9,2026-01-16 13:35:48,2025-12-12 12:39:43
autofit_impl.cpp,0.0261,mess/zip/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,45.6,2026-01-13 12:59:19,2026-01-15 10:36:41
autofit_impl.cpp,0.0261,mess/zip/PluginAutoFit/result/src/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,mess/zip/PluginAutoFit/src/bak/autofit_impl.cpp,45.6,2026-01-13 12:59:19,2026-01-15 10:36:41
autofit_impl.cpp,0.0231,mess/zip/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,72.6,2026-01-13 12:59:19,2026-01-16 13:35:48
consts.cuh,0.0211,mess/zip/PluginAutoFit/legacy/include/bak/consts.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/consts.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/consts.cuh,839.7,2025-12-09 14:28:41,2026-01-13 14:09:16
autofit_impl.cpp,0.0198,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/result/src/autofit_impl.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/autofit_impl.cpp,72.6,2026-01-16 13:35:48,2026-01-13 12:59:19
consts.cuh,0.0191,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/consts.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/consts.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/consts.cuh,71.4,2026-01-16 13:35:27,2026-01-13 14:09:16
